Plot,Year,Elevation,Group,Anastrophyllum hellerianum,Anastrophyllum michauxii,Anastrophyllum saxicola,Anomodon rostratus,Atrichum crispum,Atrichum oerstedianum,Bazzania denudata,Bazzania nudicaulis,Bazzania tricrenata,Bazzania trilobata,Blepharostoma trichophyllum,Brachythecium digastrum,Brachythecium oxycladon,Brachythecium plumosum,Brachythecium rutabulum,Brachythecium species,Brotherella recurvans,Bryhnia novae-angliae,Calypogeja muelleriana,Cephalozia bicuspidata,Cephalozia lunulifolia,Cephalozia species,Chiloscyphus polyanthos,Dicranella fulvum,Dicranella heteromalla,Dicranodontium asperulum,Dicranodontium denudatum,Dicranum flagellare,Dicranum fulvum,Dicranum fuscescens,Dicranum scoparium,Dicranum viride,Frullania tamarisci,Grimmia species,Herbertus aduncus,Heterophyllium affine,Hylocomiastrum umbratum,Hylocomium splendens,Hypnum cupressiforme,Hypnum curvifolium,Hypnum fauriei,Hypnum imponens,Hypnum pallescens,Hypnum pratense,Isopterygiopsis muelleriana,Isopterygium tenerum,Jamesoniella autumnalis,Lejeunea lamacerina,Lepidozia reptans,Leucobryum albidum,Leucobryum glaucum,Leucodon brachypus,Loeskeobryum brevirostre,Lophocolea heterophylla,Lophozia incisa,Lophozia species,Metzgeria furcata,Mnium hornum,Nowellia curvifolia,Orthotrichum anomalum,Orthotrichum stellatum,Pallavicinia lyellii,Paraleucobryum longifolium,Plagiomnium ciliare,Plagiothecium cavifolium,Plagiothecium denticulatum,Plagiothecium laetum,Platydictya subtilis,Platygyrium repens,Pleurozium schreberi,Pohlia elongata,Polytrichastrum formosum,Polytrichum juniperinum,Polytrichum pallidisetum,Polytrichum strictum,Pseudotaxiphyllum elegans,Ptilium crista-castrensis,Pylaisia selwynii,Pylaisiadelpha tenuirostris,Pylaisiella polyantha,Pylaisiella selwynii,Radula tenax,Rhizomnium punctatum,Rhyncostegium serrulatum,Rhytidiadelphus squarrosus,Rhytidiadelphus triquetrus,Riccardia jugata,Riccardia palmata,Scapania nemorosa,Scapania undulata,Sematophyllum demissum,Sematophyllum marylandieum,Sphagnum capillifolium,Sphagnum girgensohnii,Sphagnum quinquefarium,Sphagnum squarrosum,Steerecleus serrulatus,Tetraphis pellucida,Thuidium delicatulum,Tritomaria exsecta
F126-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,280,0
F131-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,60,0,0,0,90,115,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0
F132-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,650,0,0,120,80,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0
F136-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,90,0,0,0,0,0,0,80,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,105,0
F156-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,165,0,300,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,140,330,0
F157-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,265,0,0,0,0,0,0,0,0,0,0,0,0,330,0
F185-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,60,0,70,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,0
F190-2020,2020,M,2020M,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
F191-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,25,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,320,0
F193-2020,2020,M,2020M,0,0,0,0,10,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0
